¿­1,name,age,marketvalue,2019/2020 league playing time(min),2019/2020 league mean rating
282,Benoit Badiashile,19,¢æ25.00m,1413 ,6.84
283,Dominik Szoboszlai,20,¢æ25.00m,N/A,N/A
284,Samu Chukwueze,21,¢æ25.00m,2039 ,6.63
285,Marash Kumbulla,20,¢æ25.00m,1958 ,6.79
286,Moise Kean,20,¢æ25.00m,1402 ,6.27
287,Ozan Kabak,20,¢æ25.00m,1776 ,6.85
288,Ben Godfrey,22,¢æ25.00m,2646 ,6.45
289,Jeff Reine-Adelaide,22,¢æ25.00m,870 ,8.03
290,Donyell Malen,21,¢æ25.00m,1191 ,7.59
291,Everton,24,¢æ25.00m,2277 ,7.33
292,Gaetano Castrovilli,23,¢æ25.00m,2681 ,6.94
293,Nikola Vlasic,23,¢æ25.00m,2651 ,7.50
294,Manuel Akanji,25,¢æ25.00m,2309 ,6.66
295,Mario Hermoso,25,¢æ25.00m,1220 ,6.61
296,Angelino,23,¢æ25.00m,1517 ,6.95
297,Issa Diop,23,¢æ25.00m,2766 ,6.62
298,Patrik Schick,24,¢æ25.00m,1304 ,7.06
299,Alex Meret,23,¢æ25.00m,1951 ,6.36
300,Abdou Diallo,24,¢æ25.00m,1203 ,6.88
301,Thomas Strakosha,25,¢æ25.00m,3420 ,6.81
302,Djene,28,¢æ25.00m,3060 ,6.64
303,Jeremie Boga,23,¢æ25.00m,2525 ,7.17
304,Mario Pasalic,25,¢æ25.00m,2426 ,6.94
305,Federico Bernardeschi,26,¢æ25.00m,1576 ,6.52
306,John Stones,26,¢æ25.00m,1119 ,6.68
307,Pierre-Emile Hojbjerg,25,¢æ25.00m,2751 ,6.83
308,Felipe Anderson,27,¢æ25.00m,1508 ,7.23
309,Inigo Martinez,29,¢æ25.00m,2970 ,6.90
310,Yussuf Poulsen,26,¢æ25.00m,1219 ,6.87
311,Felipe,31,¢æ25.00m,2099 ,6.97
312,Yannick Carrasco,27,¢æ25.00m,2713 ,7.15
313,Conor Coady,27,¢æ25.00m,3420 ,6.51
314,Abdoulaye Doucoure,27,¢æ25.00m,3167 ,6.67
315,Paco Alcacer,27,¢æ25.00m,1460 ,6.66
316,Allan,29,¢æ25.00m,1281 ,6.66
317,Jose Campana,27,¢æ25.00m,3160 ,7.00
318,Sergi Roberto,28,¢æ25.00m,2342 ,6.85
319,Lucas Moura,28,¢æ25.00m,2249 ,6.96
320,Pablo Sarabia,28,¢æ25.00m,1165 ,6.73
321,Gareth Bale,31,¢æ25.00m,1092 ,6.82
322,Marco Reus,31,¢æ25.00m,1502 ,7.50
323,Karim Benzema,32,¢æ25.00m,3155 ,7.44
324,Boubakary Soumare,21,¢æ24.50m,1217 ,6.35
325,Florian Wirtz,17,¢æ24.00m,N/A,N/A
326,Igor Zubeldia,23,¢æ24.00m,2639 ,6.61
327,Timothy Castagne,24,¢æ24.00m,1764 ,6.72
328,Yeray Alvarez,25,¢æ24.00m,2811 ,6.99
329,Rafa Silva,27,¢æ24.00m,1699 ,7.11
330,Andre Gomes,27,¢æ24.00m,1461 ,6.43
331,Ruben Loftus-Cheek,24,¢æ24.00m,205 ,6.31
332,Andreas Christensen,24,¢æ24.00m,1754 ,6.75
333,Victor Lindelof,26,¢æ24.00m,3124 ,6.71
334,Domenico Berardi,26,¢æ24.00m,2505 ,7.45
335,Alex Oxlade-Chamberlain,27,¢æ24.00m,1493 ,6.63
336,Danilo Pereira,29,¢æ24.00m,2155 ,6.98
337,Idrissa Gueye,31,¢æ24.00m,1655 ,7.33
338,Willian Jose,29,¢æ24.00m,2018 ,6.51
339,Julian Draxler,27,¢æ24.00m,685 ,6.93
340,Nordi Mukiele,23,¢æ23.00m,1785 ,7.07
341,Cengiz Under,23,¢æ23.00m,873 ,6.87
342,Nahitan Nandez,24,¢æ23.00m,2932 ,6.65
343,Kasper Dolberg,23,¢æ23.00m,1895 ,6.94
344,Duje Caleta-Car,24,¢æ23.00m,1884 ,6.80
345,Remo Freuler,28,¢æ23.00m,2344 ,6.80
346,Marten de Roon,29,¢æ23.00m,2718 ,6.90
347,Reinier,18,¢æ22.50m,711 ,6.89
348,William Saliba,19,¢æ22.50m,991 ,6.69
349,Wesley Fofana,19,¢æ22.50m,1215 ,6.80
350,Evan N'Dicka,21,¢æ22.50m,1725 ,6.54
351,Scott McTominay,23,¢æ22.50m,1772 ,6.92
352,Morgan Sanson,26,¢æ22.50m,2186 ,6.97
353,Callum Wilson,28,¢æ22.50m,2911 ,6.51
354,Pedro Neto,20,¢æ22.00m,929 ,6.45
355,Max Aarons,20,¢æ22.00m,3240 ,6.55
356,Luiz Felipe,23,¢æ22.00m,2030 ,6.76
357,Ismaila Sarr,22,¢æ22.00m,2030 ,6.71
358,Riccardo Orsolini,23,¢æ22.00m,2694 ,6.89
359,Kalvin Phillips,24,¢æ22.00m,3254 ,7.22
360,Alexander Isak,21,¢æ22.00m,1500 ,6.41
361,Weston McKennie,22,¢æ22.00m,2078 ,6.78
362,Said Benrahma,25,¢æ22.00m,3843 ,7.49
363,Luka Jovic,22,¢æ22.00m,422 ,6.35
364,Daniel Podence,25,¢æ22.00m,287 ,6.49
365,Gianluca Mancini,24,¢æ22.00m,2773 ,6.78
366,Neal Maupay,24,¢æ22.00m,2770 ,6.66
367,Luke Shaw,25,¢æ22.00m,1764 ,6.85
368,Eric Dier,26,¢æ22.00m,1342 ,6.71
369,Giovanni Di Lorenzo,27,¢æ22.00m,2970 ,6.86
370,Matteo Politano,27,¢æ22.00m,997 ,6.59
371,Dennis Praet,26,¢æ22.00m,1135 ,6.39
372,Luis Muriel,29,¢æ22.00m,1246 ,6.95
373,Mario Fernandes,30,¢æ22.00m,2604 ,7.13
374,Aleksandar Mitrovic,26,¢æ22.00m,3619 ,7.23
375,Aaron Ramsey,29,¢æ22.00m,1049 ,6.63
376,Krzysztof Piatek,25,¢æ21.50m,1190 ,6.50
377,Ross Barkley,26,¢æ21.50m,1104 ,6.84
378,Ruslan Malinovskyi,27,¢æ21.00m,1523 ,7.00
379,Rayan Ait Nouri,19,¢æ20.00m,1286 ,6.74
380,Kang-in Lee,19,¢æ20.00m,445 ,6.20
381,Matheus Henrique,22,¢æ20.00m,1766 ,7.05
382,Carlos Vinicius,25,¢æ20.00m,1784 ,7.01
