"","name","age","marketvalue"
"322","Marco Reus",31,"¢æ25.00m"
"323","Karim Benzema",32,"¢æ25.00m"
"324","Boubakary Soumare",21,"¢æ24.50m"
"325","Florian Wirtz",17,"¢æ24.00m"
"326","Igor Zubeldia",23,"¢æ24.00m"
"327","Timothy Castagne",24,"¢æ24.00m"
"328","Yeray Alvarez",25,"¢æ24.00m"
"329","Rafa Silva",27,"¢æ24.00m"
"330","Andre Gomes",27,"¢æ24.00m"
"331","Ruben Loftus-Cheek",24,"¢æ24.00m"
"332","Andreas Christensen",24,"¢æ24.00m"
"333","Victor Lindelof",26,"¢æ24.00m"
"334","Domenico Berardi",26,"¢æ24.00m"
"335","Alex Oxlade-Chamberlain",27,"¢æ24.00m"
"336","Danilo Pereira",29,"¢æ24.00m"
"337","Idrissa Gueye",31,"¢æ24.00m"
"338","Willian Jose",29,"¢æ24.00m"
"339","Julian Draxler",27,"¢æ24.00m"
"340","Nordi Mukiele",23,"¢æ23.00m"
"341","Cengiz Ãœnder",23,"¢æ23.00m"
"342","Nahitan Nandez",24,"¢æ23.00m"
"343","Kasper Dolberg",23,"¢æ23.00m"
"344","Duje Caleta-Car",24,"¢æ23.00m"
"345","Remo Freuler",28,"¢æ23.00m"
"346","Marten de Roon",29,"¢æ23.00m"
"347","Reinier",18,"¢æ22.50m"
"348","William Saliba",19,"¢æ22.50m"
"349","Wesley Fofana",19,"¢æ22.50m"
"350","Evan N'Dicka",21,"¢æ22.50m"
"351","Scott McTominay",23,"¢æ22.50m"
"352","Morgan Sanson",26,"¢æ22.50m"
"353","Callum Wilson",28,"¢æ22.50m"
"354","Pedro Neto",20,"¢æ22.00m"
"355","Max Aarons",20,"¢æ22.00m"
"356","Luiz Felipe",23,"¢æ22.00m"
"357","Ismaila Sarr",22,"¢æ22.00m"
"358","Riccardo Orsolini",23,"¢æ22.00m"
"359","Kalvin Phillips",24,"¢æ22.00m"
"360","Alexander Isak",21,"¢æ22.00m"
"361","Weston McKennie",22,"¢æ22.00m"
"362","Said Benrahma",25,"¢æ22.00m"
"363","Luka Jovic",22,"¢æ22.00m"
"364","Daniel Podence",25,"¢æ22.00m"
"365","Gianluca Mancini",24,"¢æ22.00m"
"366","Neal Maupay",24,"¢æ22.00m"
"367","Luke Shaw",25,"¢æ22.00m"
"368","Eric Dier",26,"¢æ22.00m"
"369","Giovanni Di Lorenzo",27,"¢æ22.00m"
"370","Matteo Politano",27,"¢æ22.00m"
"371","Dennis Praet",26,"¢æ22.00m"
"372","Luis Muriel",29,"¢æ22.00m"
"373","Mario Fernandes",30,"¢æ22.00m"
"374","Aleksandar Mitrovic",26,"¢æ22.00m"
"375","Aaron Ramsey",29,"¢æ22.00m"
"376","Krzysztof Piatek",25,"¢æ21.50m"
"377","Ross Barkley",26,"¢æ21.50m"
"378","Ruslan Malinovskyi",27,"¢æ21.00m"
"379","Rayan Ait Nouri",19,"¢æ20.00m"
"380","Kang-in Lee",19,"¢æ20.00m"
"381","Matheus Henrique",22,"¢æ20.00m"
"382","Carlos Vinicius",25,"¢æ20.00m"
"383","Krepin Diatta",21,"¢æ20.00m"
"384","Jeremy Doku",18,"¢æ20.00m"
"385","Lisandro Martinez",22,"¢æ20.00m"
"386","Eric Garcia",19,"¢æ20.00m"
"387","Lucas Paqueta",23,"¢æ20.00m"
"388","Edouard Mendy",28,"¢æ20.00m"
"389","Youcef Atal",24,"¢æ20.00m"
"390","Ryan Sessegnon",20,"¢æ20.00m"
"391","Wesley",24,"¢æ20.00m"
"392","Patson Daka",22,"¢æ20.00m"
"393","Sergino Dest",20,"¢æ20.00m"
"394","Amadou Diawara",23,"¢æ20.00m"
"395","Andre Zambo Anguissa",25,"¢æ20.00m"
"396","Lucas Tousart",23,"¢æ20.00m"
"397","Eddie Nketiah",21,"¢æ20.00m"
"398","Unai Nunez",23,"¢æ20.00m"
